CRN,Title,Building,Class Time
21172,Software Engineering,Russell Hall,11:45 AM
21173,Current Topics in Computing,Russell Hall,12:00 PM
26203,Game Tech and Programming,Dwight Beeson Hall,3:30 PM
25113,Independent Study,Dwight Beeson Hall,1:00 PM
